"Day","Temperature Max","Temperature Min","Location"
"2021-7-1","106","79","Death Valley,North Las Vegas NV"
"2021-7-2","109","82","Death Valley,North Las Vegas NV"
"2021-7-3","108","88","Death Valley,North Las Vegas NV"
"2021-7-4","106","87","Death Valley,North Las Vegas NV"
"2021-7-5","109","85","Death Valley,North Las Vegas NV"
"2021-7-6","111","88","Death Valley,North Las Vegas NV"
"2021-7-7","114","91","Death Valley,North Las Vegas NV"
"2021-7-8","114","90","Death Valley,North Las Vegas NV"
"2021-7-9","117","93","Death Valley,North Las Vegas NV"
"2021-7-10","114","95","Death Valley,North Las Vegas NV"
"2021-7-11","113","95","Death Valley,North Las Vegas NV"
"2021-7-12","109","84","Death Valley,North Las Vegas NV"
"2021-7-13","107","83","Death Valley,North Las Vegas NV"
"2021-7-14","105","83","Death Valley,North Las Vegas NV"
"2021-7-15","108","81","Death Valley,North Las Vegas NV"
"2021-7-16","107","86","Death Valley,North Las Vegas NV"
"2021-7-17","101","87","Death Valley,North Las Vegas NV"
"2021-7-18","99","85","Death Valley,North Las Vegas NV"
"2021-7-19","107","84","Death Valley,North Las Vegas NV"
"2021-7-20","102","0","Death Valley,North Las Vegas NV"
"2021-7-21","105","88","Death Valley,North Las Vegas NV"
"2021-7-22","106","88","Death Valley,North Las Vegas NV"
"2021-7-23","101","85","Death Valley,North Las Vegas NV"
"2021-7-24","101","87","Death Valley,North Las Vegas NV"
"2021-7-25","91","73","Death Valley,North Las Vegas NV"
"2021-7-25","101","78","Death Valley,North Las Vegas NV"
"2021-7-27","103","78","Death Valley,North Las Vegas NV"
"2021-7-28","107","86","Death Valley,North Las Vegas NV"
"2021-7-29","96","83","Death Valley,North Las Vegas NV"
"2021-7-30","97","82","Death Valley,North Las Vegas NV"
"2021-7-31","98","74","Death Valley,North Las Vegas NV"
