"Day","Temperature Max","Temperature Min","Location"
"2021-7-1","75","61","San Francisco, CA"
"2021-7-2","75","62","San Francisco, CA"
"2021-7-3","73","61","San Francisco, CA"
"2021-7-4","76","60","San Francisco, CA"
"2021-7-5","71","60","San Francisco, CA"
"2021-7-6","68","59","San Francisco, CA"
"2021-7-7","67","58","San Francisco, CA"
"2021-7-8","77","59","San Francisco, CA"
"2021-7-9","74","58","San Francisco, CA"
"2021-7-10","71","57","San Francisco, CA"
"2021-7-11","61","59","San Francisco, CA"
"2021-7-12","68","58","San Francisco, CA"
"2021-7-13","74","55","San Francisco, CA"
"2021-7-14","73","55","San Francisco, CA"
"2021-7-15","64","54","San Francisco, CA"
"2021-7-16","70","55","San Francisco, CA"
"2021-7-17","71","54","San Francisco, CA"
"2021-7-18","73","55","San Francisco, CA"
"2021-7-19","69","56","San Francisco, CA"
"2021-7-20","65","56","San Francisco, CA"
"2021-7-21","73","56","San Francisco, CA"
"2021-7-22","70","55","San Francisco, CA"
"2021-7-23","74","54","San Francisco, CA"
"2021-7-24","75","55","San Francisco, CA"
"2021-7-25","71","56","San Francisco, CA"
"2021-7-25","74","57","San Francisco, CA"
"2021-7-27","75","56","San Francisco, CA"
"2021-7-28","71","59","San Francisco, CA"
"2021-7-29","72","55","San Francisco, CA"
"2021-7-30","71","57","San Francisco, CA"
"2021-7-31","74","59","San Francisco, CA"
